id,nome,população
Santo Antônio do Monte,Santo Antônio do Monte,28895
Santo Antônio do Retiro,Santo Antônio do Retiro,6629
Santo Antônio do Rio Abaixo,Santo Antônio do Rio Abaixo,1808
Santo Hipólito,Santo Hipólito,2717
Santos Dumont,Santos Dumont,42406
Sapucaí-Mirim,Sapucaí-Mirim,6311
Sardoá,Sardoá,5104
Sarzedo,Sarzedo,36844
Sem-Peixe,Sem-Peixe,2433
Senador Amaral,Senador Amaral,6206
Senador Cortes,Senador Cortes,2240
Senador Firmino,Senador Firmino,7716
Senador José Bento,Senador José Bento,75485
Senador Modestino Gonçalves,Senador Modestino Gonçalves,4008
Senhora de Oliveira,Senhora de Oliveira,5483
Senhora do Porto,Senhora do Porto,3067
Senhora dos Remédios,Senhora dos Remédios,10384
Sericita,Sericita,7345
Seritinga,Seritinga,1819
Serra Azul de Minas,Serra Azul de Minas,3792
Serra da Saudade,Serra da Saudade,833
Serra do Salitre,Serra do Salitre,11801
Serra dos Aimorés,Serra dos Aimorés,6944
Serrania,Serrania,7621
Serranos,Serranos,1990
Serranópolis de Minas,Serranópolis de Minas,4399
Serro,Serro,8609
Sete Lagoas,Sete Lagoas,7214
Setubinha,Setubinha,9917
Silveirânia,Silveirânia,2323
Silvianópolis,Silvianópolis,6179
Simonésia,Simonésia,19750
Simão Pereira,Simão Pereira,2947
Sobrália,Sobrália,5137
Soledade de Minas,Soledade de Minas,5613
São Bento Abade,São Bento Abade,4713
São Brás do Suaçuí,São Brás do Suaçuí,3989
São Domingos das Dores,São Domingos das Dores,5626
São Domingos do Prata,São Domingos do Prata,17392
São Francisco,São Francisco,52762
São Francisco de Paula,São Francisco de Paula,6187
São Francisco de Sales,São Francisco de Sales,5732
São Francisco do Glória,São Francisco do Glória,4800
São Félix de Minas,São Félix de Minas,3200
São Geraldo,São Geraldo,10282
São Geraldo da Piedade,São Geraldo da Piedade,3305
São Geraldo do Baixio,São Geraldo do Baixio,3143
São Gonçalo do Abaeté,São Gonçalo do Abaeté,3826
São Gonçalo do Pará,São Gonçalo do Pará,11770
São Gonçalo do Rio Abaixo,São Gonçalo do Rio Abaixo,11850
São Gonçalo do Rio Preto,São Gonçalo do Rio Preto,3032
São Gonçalo do Sapucaí,São Gonçalo do Sapucaí,16185
São Gotardo,São Gotardo,40910
